train_id,source_code,destination_code,avg_price,avg_distance
11464,JBP,SRID,505.0,54.0
11464,JBP,KKB,505.0,69.0
11464,JBP,NU,505.0,85.0
11464,JBP,KY,505.0,100.0
11464,JBP,GAR,505.0,129.0
11464,JBP,PPI,505.0,178.0
11464,JBP,SGP,950.0,196.0
11464,JBP,ET,985.0,246.0
11464,JBP,NDPM,1000.0,263.0
11464,JBP,RKMP,1020.0,338.0
11464,JBP,BPL,1050.0,344.0
11464,JBP,SHRN,1070.0,354.0
11464,JBP,SEH,1105.0,383.0
11464,JBP,PRB,1215.0,397.0
11464,JBP,KPP,1310.0,412.0
11464,JBP,SJP,1320.0,424.0
11464,JBP,AKD,1365.0,437.0
11464,JBP,KSH,1485.0,456.0
11464,JBP,BCH,1530.0,467.0
11464,JBP,MKC,1635.0,487.0
11464,JBP,UJN,1665.0,527.0
11464,JBP,NAD,1710.0,582.0
11464,JBP,KUH,1750.0,596.0
11464,JBP,RTM,1775.0,624.0
11464,JBP,MGN,1800.0,704.0
11464,JBP,DHD,1825.0,737.0
11464,JBP,GDA,1840.0,812.0
11464,JBP,DRL,1855.0,835.0
11464,JBP,CYI,1915.0,878.0
11464,JBP,ANND,1995.0,910.0
11464,JBP,ND,2050.0,928.0
11464,JBP,MHD,2075.0,946.0
11464,JBP,MAN,2100.0,970.0
11464,JBP,ADI,2130.0,974.0
11464,JBP,CLDY,2155.0,985.0
11464,JBP,VG,2180.0,1039.0
11464,JBP,SUNR,2180.0,1104.0
11464,JBP,THAN,2210.0,1152.0
11464,JBP,WKR,2260.0,1179.0
11464,JBP,RJT,2260.0,1220.0
11464,JBP,BKNG,2315.0,1227.0
11464,JBP,GDL,710.0,1262.0
11464,JBP,VRR,710.0,1278.0
11464,JBP,JLR,710.0,1297.0
11464,JBP,JND,710.0,1323.0
11464,JBP,KSD,710.0,1359.0
11464,JBP,MLHA,710.0,1375.0
11464,JBP,VRL,710.0,1405.0
11464,SRID,KKB,710.0,15.0
11464,SRID,NU,710.0,31.0
11464,SRID,KY,710.0,46.0
11464,SRID,GAR,795.0,75.0
11464,SRID,PPI,830.0,124.0
11464,SRID,SGP,865.0,142.0
11464,SRID,ET,880.0,192.0
11464,SRID,NDPM,915.0,209.0
11464,SRID,RKMP,935.0,284.0
11464,SRID,BPL,965.0,290.0
11464,SRID,SHRN,985.0,300.0
11464,SRID,SEH,1020.0,329.0
11464,SRID,PRB,1090.0,343.0
11464,SRID,KPP,1215.0,358.0
11464,SRID,SJP,1245.0,370.0
11464,SRID,AKD,1290.0,383.0
11464,SRID,KSH,1410.0,402.0
11464,SRID,BCH,1455.0,413.0
11464,SRID,MKC,1560.0,433.0
11464,SRID,UJN,1600.0,473.0
11464,SRID,NAD,1650.0,528.0
11464,SRID,KUH,1685.0,542.0
11464,SRID,RTM,1710.0,570.0
11464,SRID,MGN,1740.0,650.0
11464,SRID,DHD,1765.0,683.0
11464,SRID,GDA,1775.0,758.0
11464,SRID,DRL,1790.0,781.0
11464,SRID,CYI,1855.0,824.0
11464,SRID,ANND,1945.0,856.0
11464,SRID,ND,1970.0,874.0
11464,SRID,MHD,2025.0,892.0
11464,SRID,MAN,2050.0,916.0
11464,SRID,ADI,2050.0,920.0
11464,SRID,CLDY,2100.0,931.0
11464,SRID,VG,2100.0,985.0
11464,SRID,SUNR,2130.0,1050.0
11464,SRID,THAN,2155.0,1098.0
11464,SRID,WKR,2210.0,1125.0
11464,SRID,RJT,2210.0,1166.0
11464,SRID,BKNG,2260.0,1173.0
11464,SRID,GDL,710.0,1208.0
11464,SRID,VRR,710.0,1224.0
11464,SRID,JLR,710.0,1243.0
11464,SRID,JND,710.0,1269.0
11464,SRID,KSD,710.0,1305.0
11464,SRID,MLHA,710.0,1321.0
11464,SRID,VRL,710.0,1351.0
11464,KKB,NU,710.0,16.0
11464,KKB,KY,710.0,31.0
11464,KKB,GAR,710.0,60.0
11464,KKB,PPI,815.0,109.0
11464,KKB,SGP,830.0,127.0
11464,KKB,ET,865.0,177.0
11464,KKB,NDPM,880.0,194.0
11464,KKB,RKMP,900.0,269.0
11464,KKB,BPL,935.0,275.0
11464,KKB,SHRN,950.0,285.0
11464,KKB,SEH,985.0,314.0
11464,KKB,PRB,1050.0,328.0
11464,KKB,KPP,1205.0,343.0
11464,KKB,SJP,1215.0,355.0
11464,KKB,AKD,1260.0,368.0
11464,KKB,KSH,1380.0,387.0
11464,KKB,BCH,1430.0,398.0
11464,KKB,MKC,1545.0,418.0
11464,KKB,UJN,1575.0,458.0
11464,KKB,NAD,1625.0,513.0
11464,KKB,KUH,1675.0,527.0
11464,KKB,RTM,1685.0,555.0
11464,KKB,MGN,1710.0,635.0
11464,KKB,DHD,1750.0,668.0
11464,KKB,GDA,1750.0,743.0
11464,KKB,DRL,1765.0,766.0
11464,KKB,CYI,1840.0,809.0
11464,KKB,ANND,1915.0,841.0
11464,KKB,ND,1970.0,859.0
11464,KKB,MHD,1995.0,877.0
11464,KKB,MAN,2050.0,901.0
11464,KKB,ADI,2050.0,905.0
11464,KKB,CLDY,2075.0,916.0
11464,KKB,VG,2100.0,970.0
11464,KKB,SUNR,2130.0,1035.0
11464,KKB,THAN,2155.0,1083.0
11464,KKB,WKR,2180.0,1110.0
11464,KKB,RJT,2210.0,1151.0
11464,KKB,BKNG,2235.0,1158.0
11464,KKB,GDL,710.0,1193.0
11464,KKB,VRR,710.0,1209.0
11464,KKB,JLR,710.0,1228.0
11464,KKB,JND,710.0,1254.0
11464,KKB,KSD,710.0,1290.0
11464,KKB,MLHA,710.0,1306.0
11464,KKB,VRL,710.0,1336.0
11464,NU,KY,710.0,15.0
11464,NU,GAR,710.0,44.0
11464,NU,PPI,710.0,93.0
11464,NU,SGP,815.0,111.0
11464,NU,ET,830.0,161.0
11464,NU,NDPM,845.0,178.0
11464,NU,RKMP,880.0,253.0
11464,NU,BPL,915.0,259.0
11464,NU,SHRN,935.0,269.0
11464,NU,SEH,965.0,298.0
11464,NU,PRB,1035.0,312.0
11464,NU,KPP,1120.0,327.0
11464,NU,SJP,1205.0,339.0
11464,NU,AKD,1230.0,352.0
11464,NU,KSH,1355.0,371.0
11464,NU,BCH,1410.0,382.0
11464,NU,MKC,1515.0,402.0
11464,NU,UJN,1560.0,442.0
11464,NU,NAD,1610.0,497.0
11464,NU,KUH,1650.0,511.0
11464,NU,RTM,1675.0,539.0
11464,NU,MGN,1700.0,619.0
11464,NU,DHD,1725.0,652.0
11464,NU,GDA,1725.0,727.0
11464,NU,DRL,1750.0,750.0
11464,NU,CYI,1815.0,793.0
11464,NU,ANND,1890.0,825.0
11464,NU,ND,1945.0,843.0
11464,NU,MHD,1970.0,861.0
11464,NU,MAN,2025.0,885.0
11464,NU,ADI,2025.0,889.0
11464,NU,CLDY,2075.0,900.0
11464,NU,VG,2075.0,954.0
11464,NU,SUNR,2100.0,1019.0
11464,NU,THAN,2130.0,1067.0
11464,NU,WKR,2155.0,1094.0
11464,NU,RJT,2180.0,1135.0
11464,NU,BKNG,2210.0,1142.0
11464,NU,GDL,710.0,1177.0
11464,NU,VRR,710.0,1193.0
11464,NU,JLR,710.0,1212.0
11464,NU,JND,710.0,1238.0
11464,NU,KSD,710.0,1274.0
11464,NU,MLHA,710.0,1290.0
11464,NU,VRL,710.0,1320.0
11464,KY,GAR,710.0,29.0
11464,KY,PPI,710.0,78.0
11464,KY,SGP,710.0,96.0
11464,KY,ET,815.0,146.0
11464,KY,NDPM,830.0,163.0
11464,KY,RKMP,845.0,238.0
11464,KY,BPL,880.0,244.0
11464,KY,SHRN,900.0,254.0
11464,KY,SEH,935.0,283.0
11464,KY,PRB,1000.0,297.0
11464,KY,KPP,1105.0,312.0
11464,KY,SJP,1120.0,324.0
11464,KY,AKD,1215.0,337.0
11464,KY,KSH,1335.0,356.0
11464,KY,BCH,1380.0,367.0
11464,KY,MKC,1505.0,387.0
11464,KY,UJN,1530.0,427.0
11464,KY,NAD,1585.0,482.0
11464,KY,KUH,1625.0,496.0
11464,KY,RTM,1650.0,524.0
