train_id,train_name,rr_imputation_flag_conservative,rr_imputation_flag_conformal,any_flag
19955,PINAKINI EXP,False,True,True
28317,TUNGABHADRA EXP,False,False,False
14065,NARAYANADRI EXP,False,False,False
25224,CIRCAR EXPRESS,False,False,False
18727,PRASHANTI EXP,False,False,False
29054,KRISHNA EXPRESS,False,False,False
15553,GNT NS EXP,False,False,False
15988,PRASHANTI EXP,False,False,False
26811,AMARAVATI EXP,True,False,True
15390,CHARMINAR EXP,False,False,False
24507,TIRUMALA EXP,False,False,False
29012,SEVEN HILLS EXP,False,False,False
21679,CIRCAR EXPRESS,True,False,True
18638,BNC - HTE WE,False,False,False
13870,PINAKINI EXP,True,False,True
26940,AMARAVATI EXP,False,False,False
25701,INTERCITY EXP,False,False,False
13530,VANDE BHARAT,False,False,False
20241,NARAYANADRI EXP,False,False,False
24253,PRASHANTI EXP,False,False,False
23313,SIMHADRI EXP,False,False,False
20366,PRASHANTI EXP,False,False,False
18680,VANDE BHARAT,False,False,False
27398,GODAVARI EXPRES,False,False,False
25908,GNT NS EXP,False,False,False
27288,PRASHANTI EXP,False,False,False
20324,CIRCAR EXPRESS,False,False,False
29429,VANDE BHARAT,False,False,False
24040,FALAKNUMA EXP,False,False,False
12039,KGM-NDLS SHA,False,False,False
16192,SEVEN HILLS EXP,False,False,False
22974,PURI GIMB EX,False,False,False
27436,JANMABHOOMI EXP,False,False,False
14930,TIRUMALA EXP,False,False,False
19118,SIMHADRI EXP,False,False,False
20768,TIRUMALA EXP,False,False,False
26585,PINAKINI EXP,False,False,False
17428,GODAVARI EXPRES,False,False,False
18011,FALAKNUMA EXP,False,False,False
27093,JANMABHOOMI EXP,False,False,False
15983,MEMU SPECIAL,False,False,False
27034,GNT NS EXP,False,False,False
26459,INTERCITY EXP,False,False,False
17362,PINAKINI EXP,False,False,False
25842,PINAKINI EXP,False,False,False
23848,PRASHANTI EXP,False,False,False
18730,TIRUMALA EXP,False,False,False
12212,ANVT-MFP GAR,False,False,False
15254,SESHADRI EXP,True,False,True
19405,VIKRAMASIMHAPURI,False,False,False
25792,TUNGABHADRA EXP,True,False,True
28203,VISAKHA EXPRESS,False,False,False
24353,GNT NS EXP,True,False,True
25547,NARAYANADRI EXP,False,False,False
26857,KRISHNA EXPRESS,False,False,False
29275,TUNGABHADRA EXP,False,False,False
13044,RXL HWH EXPR,False,False,False
16895,TIRUMALA EXP,False,False,False
19857,PINAKINI EXP,False,False,False
20767,PRASHANTI EXP,False,False,False
17647,SIMHADRI EXP,False,False,False
19980,TUNGABHADRA EXP,False,False,False
22819,BBS-VSKP SF,False,False,False
12386,NARAYANADRI EXP,False,False,False
13610,SIMHADRI EXP,False,False,False
19149,SESHADRI EXP,False,False,False
16555,RATNACHAL EXP,False,False,False
25372,NARAYANADRI EXP,False,False,False
28190,AMARAVATI EXP,False,False,False
25185,JANMABHOOMI EXP,False,False,False
16082,SEVEN HILLS EXP,False,False,False
26800,INTERCITY EXP,False,False,False
21041,SESHADRI EXP,True,False,True
20126,RATNACHAL EXP,False,False,False
13766,RAYALASEEMA EXP,False,False,False
17587,SESHADRI EXP,False,False,False
27747,GNT NS EXP,False,False,False
21979,FALAKNUMA EXP,False,False,False
24869,MEMU SPECIAL,False,False,False
25889,PINAKINI EXP,False,False,False
13471,AMARAVATI EXP,False,False,False
22387,BLACKDIMOND,False,False,False
16485,GOLCONDA EXP,False,False,False
12547,AF-ADI SUPER,False,False,False
14804,ADI BGKT EXP,False,False,False
22721,CIRCAR EXPRESS,False,False,False
21141,JANMABHOOMI EXP,False,False,False
14665,RAYALASEEMA EXP,False,False,False
18717,CHARMINAR EXP,False,False,False
29244,GARIB RATH,False,False,False
12619,MATSYAGANDHA,False,False,False
18066,SEVEN HILLS EXP,False,False,False
13789,INTERCITY EXP,False,False,False
26909,FALAKNUMA EXP,False,False,False
15868,SEVEN HILLS EXP,False,False,False
28699,TUNGABHADRA EXP,False,False,False
28936,RATNACHAL EXP,False,False,False
28771,GOLCONDA EXP,False,False,False
29848,PINAKINI EXP,False,False,False
25080,SIMHADRI EXP,False,False,False
28441,MEMU SPECIAL,True,False,True
12330,SAMPARKRANTI,False,False,False
14931,PRASHANTI EXP,False,False,False
14701,GARIB RATH,False,False,False
14941,CIRCAR EXPRESS,False,False,False
14684,MEMU SPECIAL,False,False,False
16207,AMARAVATI EXP,False,False,False
22954,GUJARAT EXPR,False,False,False
22622,CAPE-RMM SUP,False,False,False
25739,PRASHANTI EXP,False,False,False
14832,VIKRAMASIMHAPURI,True,False,True
28352,KRISHNA EXPRESS,False,False,False
16065,SEVEN HILLS EXP,False,False,False
29114,SIMHADRI EXP,False,False,False
22645,AHILYANAGARI,False,False,False
28020,VANDE BHARAT,False,False,False
13873,TUNGABHADRA EXP,False,False,False
29038,INTERCITY EXP,False,False,False
22219,VANDE BHARAT,False,False,False
14818,SESHADRI EXP,True,False,True
15228,MUZAFFARPUR-,False,False,False
20043,GOLCONDA EXP,False,False,False
21127,RAYALASEEMA EXP,False,False,False
20543,SESHADRI EXP,False,False,False
13166,SITAMARI-KOL,False,False,False
20642,GOLCONDA EXP,False,False,False
20673,INTERCITY EXP,False,False,False
17712,FALAKNUMA EXP,True,False,True
21223,SESHADRI EXP,False,False,False
13036,MEMU SPECIAL,False,False,False
19663,JANMABHOOMI EXP,False,False,False
29632,KRISHNA EXPRESS,False,False,False
17437,INTERCITY EXP,False,False,False
21646,SIMHADRI EXP,False,False,False
26180,SESHADRI EXP,False,False,False
16383,TUNGABHADRA EXP,False,False,False
25425,SESHADRI EXP,True,False,True
14538,JANMABHOOMI EXP,False,False,False
20311,VANDE BHARAT,False,False,False
25465,GOLCONDA EXP,False,False,False
17276,GARIB RATH,False,False,False
19325,IND AMRITSAR,False,False,False
26758,TIRUMALA EXP,False,False,False
20373,FALAKNUMA EXP,True,False,True
17659,TIRUMALA EXP,False,False,False
24740,GODAVARI EXPRES,False,False,False
25089,FALAKNUMA EXP,False,False,False
26823,TIRUMALA EXP,False,False,False
12093,GOLCONDA EXP,False,False,False
29104,PINAKINI EXP,False,False,False
28863,JANMABHOOMI EXP,False,False,False
28041,GNT NS EXP,False,False,False
18327,VISAKHA EXPRESS,False,False,False
15752,KRISHNA EXPRESS,False,False,False
22397,AMARAVATI EXP,False,False,False
24218,GARIB RATH,True,False,True
12862,KZJ-VSKP LIN,False,False,False
12543,GNT NS EXP,False,False,False
27462,RAYALASEEMA EXP,False,False,False
13391,GNT NS EXP,False,False,False
12475,HAPA JAT EXP,False,False,False
16641,PRASHANTI EXP,False,False,False
26335,TIRUMALA EXP,False,False,False
12886,BJE-SHM ARAN,False,False,False
26389,GODAVARI EXPRES,False,False,False
28738,GNT NS EXP,False,False,False
24934,CIRCAR EXPRESS,False,False,False
18679,JANMABHOOMI EXP,True,False,True
26708,NARAYANADRI EXP,False,False,False
18042,NARAYANADRI EXP,False,False,False
20303,TIRUMALA EXP,False,False,False
17770,VISAKHA EXPRESS,True,False,True
20804,PRASHANTI EXP,False,False,False
15589,CIRCAR EXPRESS,False,False,False
29735,VANDE BHARAT,True,False,True
17669,SESHADRI EXP,True,False,True
17646,SIMHADRI EXP,False,False,False
26143,GNT NS EXP,False,False,False
26511,INTERCITY EXP,True,False,True
13502,ASN -  HLZ E,False,False,False
12305,KOLKATA RAJD,False,False,False
18990,TUNGABHADRA EXP,False,False,False
24775,GODAVARI EXPRES,False,False,False
29752,TUNGABHADRA EXP,False,False,False
24269,MEMU SPECIAL,False,False,False
26545,VISAKHA EXPRESS,False,False,False
17806,GNT NS EXP,False,False,False
18393,RATNACHAL EXP,False,False,False
27209,KRISHNA EXPRESS,False,False,False
17135,JANMABHOOMI EXP,False,False,False
15008,KRISHAK EXPR,False,False,False
16416,PINAKINI EXP,False,False,False
12524,NDLS-NJP BI-,False,False,False
12657,MAS-SBC MAIL,False,False,False
18041,MEMU SPECIAL,False,False,False
26810,INTERCITY EXP,False,False,False
22208,TVC-MAS AC E,False,False,False
22649,YERCAUD EXPR,False,False,False
27107,VISAKHA EXPRESS,False,False,False
16731,INTERCITY EXP,False,False,False
18793,KRISHNA EXPRESS,False,False,False
20333,MEMU SPECIAL,False,False,False
13926,JANMABHOOMI EXP,False,False,False
28448,GODAVARI EXPRES,False,False,False
16778,VISAKHA EXPRESS,False,False,False
25194,RATNACHAL EXP,False,False,False
18748,KRISHNA EXPRESS,False,False,False
13313,FALAKNUMA EXP,False,False,False
12076,TVC - CLT JA,False,False,False
12099,RATNACHAL EXP,False,False,False
15021,SHALIMAR-GOR,False,False,False
19346,PINAKINI EXP,False,False,False
17072,GOLCONDA EXP,False,False,False
13666,GARIB RATH,True,False,True
20276,GARIB RATH,False,False,False
13913,RATNACHAL EXP,False,False,False
25243,SEVEN HILLS EXP,False,False,False
13798,RAYALASEEMA EXP,False,False,False
21734,GNT NS EXP,False,False,False
14311,BE -NBVJ EXP,False,False,False
16269,NARAYANADRI EXP,False,False,False
23315,PRASHANTI EXP,False,False,False
24021,MEMU SPECIAL,False,False,False
26676,MEMU SPECIAL,False,False,False
15406,SIMHADRI EXP,False,False,False
22486,AMARAVATI EXP,False,False,False
29410,FALAKNUMA EXP,False,False,False
23680,GODAVARI EXPRES,False,False,False
29660,RAYALASEEMA EXP,False,False,False
24705,RATNACHAL EXP,False,False,False
20129,GODAVARI EXPRES,False,False,False
20505,NARAYANADRI EXP,False,False,False
13925,VIKRAMASIMHAPURI,False,False,False
12814,TATA-HWH STE,False,False,False
15102,JANSADHARN,True,False,True
29882,SEVEN HILLS EXP,False,False,False
26223,PINAKINI EXP,False,False,False
18557,RAYALASEEMA EXP,False,False,False
24330,SIMHADRI EXP,False,False,False
19441,GOLCONDA EXP,False,False,False
28166,GARIB RATH,False,False,False
29808,JANMABHOOMI EXP,False,False,False
13268,GODAVARI EXPRES,True,False,True
27076,AMARAVATI EXP,True,False,True
26873,JANMABHOOMI EXP,False,False,False
23478,KRISHNA EXPRESS,True,False,True
21332,NARAYANADRI EXP,False,False,False
26508,SIMHADRI EXP,False,False,False
21838,GNT NS EXP,False,False,False
23151,SESHADRI EXP,False,False,False
28246,JANMABHOOMI EXP,False,False,False
22248,GARIB RATH,False,False,False
19759,AMARAVATI EXP,False,False,False
21870,AMARAVATI EXP,False,False,False
13305,DHN-GAYA INT,False,False,False
27141,GARIB RATH,False,False,False
24761,AMARAVATI EXP,False,False,False
23880,VANDE BHARAT,True,False,True
18518,VSKP-KORBA E,False,False,False
29634,CIRCAR EXPRESS,False,False,False
18239,GAD-NGP SHIV,False,False,False
25770,VANDE BHARAT,False,False,False
14403,NARAYANADRI EXP,False,False,False
27985,SEVEN HILLS EXP,False,False,False
28935,JANMABHOOMI EXP,False,False,False
21385,RATNACHAL EXP,False,False,False
20557,SIMHADRI EXP,False,False,False
21238,PRASHANTI EXP,False,False,False
22088,JANMABHOOMI EXP,False,False,False
15913,JANMABHOOMI EXP,False,False,False
26881,GODAVARI EXPRES,False,False,False
19116,BHUJ DDR EXP,False,False,False
14461,GODAVARI EXPRES,False,False,False
19652,INTERCITY EXP,False,False,False
24808,MEMU SPECIAL,False,False,False
18401,PURI-OKHA WE,True,False,True
24890,RAYALASEEMA EXP,False,False,False
