train_id,train_name,rr_imputation_flag_conservative,rr_imputation_flag_conformal,any_flag
19955,PINAKINI EXP,False,True,True
19184,VISAKHA EXPRESS,False,True,True
24581,VIKRAMASIMHAPURI,False,True,True
16143,AMARAVATI EXP,False,True,True
21887,GNT NS EXP,False,True,True
16657,GOLCONDA EXP,False,True,True
23620,GODAVARI EXPRES,False,True,True
28857,GODAVARI EXPRES,False,True,True
21111,VISAKHA EXPRESS,False,True,True
12828,PRR HWH EXPR,False,True,True
15153,RAYALASEEMA EXP,False,True,True
15904,CDG-DBRG EXP,False,True,True
27960,SESHADRI EXP,False,True,True
24555,CIRCAR EXPRESS,False,True,True
27731,AMARAVATI EXP,False,True,True
18833,FALAKNUMA EXP,False,True,True
26653,PINAKINI EXP,False,True,True
25780,RAYALASEEMA EXP,False,True,True
29278,GOLCONDA EXP,False,True,True
28318,GARIB RATH,False,True,True
20429,INTERCITY EXP,False,True,True
23222,SESHADRI EXP,False,True,True
29792,VIKRAMASIMHAPURI,False,True,True
27089,FALAKNUMA EXP,False,True,True
14265,BSB DDN EXP,False,True,True
25529,GOLCONDA EXP,False,True,True
17974,VISAKHA EXPRESS,False,True,True
24045,GNT NS EXP,False,True,True
23407,VIKRAMASIMHAPURI,False,True,True
25026,GNT NS EXP,False,True,True
25769,GARIB RATH,False,True,True
15700,JANMABHOOMI EXP,False,True,True
21180,TIRUMALA EXP,False,True,True
22752,TUNGABHADRA EXP,False,True,True
25601,INTERCITY EXP,False,True,True
29665,TUNGABHADRA EXP,False,True,True
20024,TIRUMALA EXP,False,True,True
26773,GODAVARI EXPRES,False,True,True
21289,VANDE BHARAT,False,True,True
21274,VIKRAMASIMHAPURI,False,True,True
25268,GOLCONDA EXP,False,True,True
27914,INTERCITY EXP,False,True,True
25985,KRISHNA EXPRESS,False,True,True
13565,TUNGABHADRA EXP,False,True,True
29842,JANMABHOOMI EXP,False,True,True
13571,GNT NS EXP,False,True,True
21358,TUNGABHADRA EXP,False,True,True
